"case","statistic","calculated","standard","tolerance","difference","status"
"A 非参数 LoB","报告值",9.400000,9.4,0.05,0.000000,"对应"
"A 经典 LoD","报告值",14.530948,14.5,0.05,0.030948,"对应"
"A 参数 LoB","报告值",8.795605,8.8,0.05,-0.004395,"对应"
"A 参数 LoD","报告值",13.926552,13.9,0.05,0.026552,"对应"
"B 精密度轮廓 LoD 批1","LoD",,1.17,,,"当前公开入口不支持均值+SD汇总输入"
"B 精密度轮廓 LoD 批2","LoD",,1.17,,,"当前公开入口不支持均值+SD汇总输入"
"C Probit LoD 批1","LoD",0.076646,0.077,0.0005,-0.000354,"对应"
"C Probit LoD 批2","LoD",0.033472,0.033,0.0005,0.000472,"对应"
"C Probit LoD 批3","LoD",0.031431,0.031,0.0005,0.000431,"对应"
"D1 精密度 LoQ 批1","LoQ",,0.14,,,"当前公开入口不支持均值+SD/CV汇总输入"
"D1 精密度 LoQ 批2","LoQ",,0.15,,,"当前公开入口不支持均值+SD/CV汇总输入"
"D2 总误差 LoQ 批A","LoQ",35.544444,35.5,0.05,0.044444,"对应"
"D2 总误差 LoQ 批B","LoQ",36.077778,36.1,0.05,-0.022222,"对应"
"E LoB 声明","一致比例(%)",95.833333,95.8,0.05,0.033333,"对应"
"E LoD 声明","一致比例(%)",91.666667,91.7,0.05,-0.033333,"对应"
"F LoQ 声明","一致比例(%)",91.111111,91.1,0.05,0.011111,"对应"
