lot,day,replicate,sample,result
1,1,1,B1,0.11
1,1,1,B2,-0.02
1,1,1,B3,0.14
1,1,1,B4,-0.04
1,1,1,B5,0.04
1,1,2,B1,0.02
1,1,2,B2,0.00
1,1,2,B3,0.35
1,1,2,B4,-0.02
1,1,2,B5,0.04
1,1,3,B1,0.12
1,1,3,B2,0.03
1,1,3,B3,0.07
1,1,3,B4,-0.02
1,1,3,B5,-0.12
1,1,4,B1,0.11
1,1,4,B2,-0.02
1,1,4,B3,0.24
1,1,4,B4,-0.03
1,1,4,B5,0.01
1,2,1,B1,-0.04
1,2,1,B2,-0.10
1,2,1,B3,-0.01
1,2,1,B4,-0.03
1,2,1,B5,-0.06
1,2,2,B1,-0.05
1,2,2,B2,-0.03
1,2,2,B3,-0.08
1,2,2,B4,-0.05
1,2,2,B5,-0.04
1,2,3,B1,0.08
1,2,3,B2,-0.01
1,2,3,B3,-0.12
1,2,3,B4,0.26
1,2,3,B5,-0.12
1,2,4,B1,0.25
1,2,4,B2,0.10
1,2,4,B3,-0.15
1,2,4,B4,-0.05
1,2,4,B5,0.15
1,3,1,B1,-0.07
1,3,1,B2,0.16
1,3,1,B3,-0.03
1,3,1,B4,0.00
1,3,1,B5,0.11
1,3,2,B1,-0.10
1,3,2,B2,0.01
1,3,2,B3,-0.08
1,3,2,B4,-0.11
1,3,2,B5,-0.09
1,3,3,B1,-0.09
1,3,3,B2,-0.08
1,3,3,B3,0.03
1,3,3,B4,-0.03
1,3,3,B5,-0.14
1,3,4,B1,-0.01
1,3,4,B2,-0.10
1,3,4,B3,-0.07
1,3,4,B4,-0.07
1,3,4,B5,-0.09
2,1,1,B1,-0.01
2,1,1,B2,-0.10
2,1,1,B3,-0.02
2,1,1,B4,-0.04
2,1,1,B5,-0.04
2,1,2,B1,-0.04
2,1,2,B2,-0.02
2,1,2,B3,-0.09
2,1,2,B4,-0.07
2,1,2,B5,-0.02
2,1,3,B1,0.11
2,1,3,B2,-0.03
2,1,3,B3,-0.10
2,1,3,B4,0.27
2,1,3,B5,-0.09
2,1,4,B1,0.27
2,1,4,B2,0.10
2,1,4,B3,-0.16
2,1,4,B4,-0.02
2,1,4,B5,0.14
2,2,1,B1,0.06
2,2,1,B2,0.07
2,2,1,B3,-0.03
2,2,1,B4,0.11
2,2,1,B5,-0.06
2,2,2,B1,0.05
2,2,2,B2,0.03
2,2,2,B3,0.03
2,2,2,B4,0.36
2,2,2,B5,0.00
2,2,3,B1,-0.13
2,2,3,B2,0.13
2,2,3,B3,0.01
2,2,3,B4,0.07
2,2,3,B5,-0.02
2,2,4,B1,0.03
2,2,4,B2,0.10
2,2,4,B3,0.00
2,2,4,B4,0.23
2,2,4,B5,-0.05
2,3,1,B1,-0.05
2,3,1,B2,0.14
2,3,1,B3,-0.05
2,3,1,B4,-0.01
2,3,1,B5,0.12
2,3,2,B1,-0.07
2,3,2,B2,0.00
2,3,2,B3,-0.11
2,3,2,B4,-0.11
2,3,2,B5,-0.07
2,3,3,B1,-0.10
2,3,3,B2,-0.09
2,3,3,B3,0.02
2,3,3,B4,-0.03
2,3,3,B5,-0.15
2,3,4,B1,0.00
2,3,4,B2,-0.09
2,3,4,B3,-0.09
2,3,4,B4,-0.05
2,3,4,B5,-0.10
