"bottle","replicate","value"
"B01",1,97.52
"B01",2,100.53
"B01",3,98.81
"B01",4,97.55
"B01",5,97.85
"B02",1,100.92
"B02",2,102.91
"B02",3,101.04
"B02",4,102.54
"B02",5,101.16
"B03",1,99.54
"B03",2,99
"B03",3,101.01
"B03",4,99.25
"B03",5,100.23
"B04",1,102.89
"B04",2,103.05
"B04",3,102.19
"B04",4,102.42
"B04",5,103.44
"B05",1,98.41
"B05",2,99.72
"B05",3,98.4
"B05",4,99.56
"B05",5,97.67
"B06",1,101.62
"B06",2,100.91
"B06",3,97.78
"B06",4,99.53
"B06",5,100.64
"B07",1,102.04
"B07",2,100.92
"B07",3,100.21
"B07",4,100.6
"B07",5,99.82
"B08",1,98.61
"B08",2,99.63
"B08",3,101.65
"B08",4,101.31
"B08",5,101.3
"B09",1,100.25
"B09",2,98.72
"B09",3,101.28
"B09",4,99.83
"B09",5,99
"B10",1,100.64
"B10",2,101.11
"B10",3,102.53
"B10",4,102.35
"B10",5,101.57
"B11",1,97.92
"B11",2,99.89
"B11",3,99.35
"B11",4,100.4
"B11",5,99.09
"B12",1,97.06
"B12",2,99.28
"B12",3,97.61
"B12",4,98.82
"B12",5,99.58
"B13",1,100.63
"B13",2,100.44
"B13",3,98.23
"B13",4,98.91
"B13",5,100.51
"B14",1,101.1
"B14",2,101.6
"B14",3,100.89
"B14",4,100.38
"B14",5,100.55
"B15",1,101.05
"B15",2,98.59
"B15",3,101.54
"B15",4,98.31
"B15",5,99.47
