"case","statistic","computed","standard","difference","status"
"YY/T 1709均匀性","SS_between",0.211440476190476,0.211440476,1.90476134864781e-10,"对应"
"YY/T 1709均匀性","SS_within",0.355600000000003,0.3556,2.4980018054066e-15,"对应"
"YY/T 1709均匀性","MS_between",0.016264652014652,0.016264652,1.46520087729307e-11,"对应"
"YY/T 1709均匀性","MS_within",0.0127000000000001,0.0127,9.0205620750794e-17,"对应"
"YY/T 1709均匀性","F",1.28068126099621,1.280681,2.60996212197995e-07,"对应"
"YY/T 1709均匀性","u_bb",0.0344705285456621,0.0344916,-2.10714543378843e-05,"差异"
"YY/T 1709稳定性-长期","slope",-0.0137301587301566,-0.0137,-3.01587301566302e-05,"对应"
"YY/T 1709稳定性-长期","intercept",50.0114285714285,50.0114,2.85714285439553e-05,"对应"
"YY/T 1709稳定性-长期","residual_sd",0.323794467437061,0.3238,-5.53256293928106e-06,"对应"
"YY/T 1709稳定性-长期","slope_se",0.0203971342080253,0.0204,-2.86579197466413e-06,"对应"
"YY/T 1709稳定性-长期","u_stability",0.367148415744456,0.3672,-5.15842555439683e-05,"差异"
"YY/T 1709稳定性-运输室温","slope",-0.0486706349206311,-0.0487,2.93650793689385e-05,"对应"
"YY/T 1709稳定性-运输室温","intercept",50.3568055555555,50.3568,5.5555555249498e-06,"对应"
"YY/T 1709稳定性-运输室温","residual_sd",0.52970298926305,0.5451,-0.0153970107369499,"差异"
"YY/T 1709稳定性-运输室温","slope_se",0.0817349457282226,0.0841,-0.00236505427177737,"差异"
"YY/T 1709稳定性-运输室温","u_stability",0.572144620097558,0.5887,-0.0165553799024416,"差异"
"YY/T 1709稳定性-运输37C","slope",-0.0329960317460311,-0.033,3.9682539688668e-06,"对应"
"YY/T 1709稳定性-运输37C","intercept",50.3936111111111,50.3936,1.1111111106743e-05,"对应"
"YY/T 1709稳定性-运输37C","residual_sd",0.422027269371865,0.431,-0.00897273062813486,"差异"
"YY/T 1709稳定性-运输37C","slope_se",0.0651202214394329,0.0665,-0.00137977856056708,"差异"
"YY/T 1709稳定性-运输37C","u_stability",0.45584155007603,0.4655,-0.00965844992396953,"差异"
"YY/T 1709稳定性-复溶","slope",0.0432539682539678,0.0433,-4.60317460322171e-05,"对应"
"YY/T 1709稳定性-复溶","intercept",49.6536111111111,49.6536,1.11111111138484e-05,"对应"
"YY/T 1709稳定性-复溶","residual_sd",0.621455096841092,0.6319,-0.0104449031589082,"差异"
"YY/T 1709稳定性-复溶","slope_se",0.0958926032935967,0.0975,-0.00160739670640331,"差异"
"YY/T 1709稳定性-复溶","u_stability",0.671248223055177,0.6825,-0.0112517769448232,"差异"
"YY/T 1709定值","mean",179.7294,179.73,-0.000599999999991496,"对应"
"YY/T 1709定值","u_REP_rel",0.0012555859579304,0.001256,-4.14042069595217e-07,"对应"
"YY/T 1709定值","u_wcal_rel",0.0168763338200607,0.0168763,3.38200606513073e-08,"对应"
"YY/T 1709定值","u_sol_rel",0.00577352879880417,0.0057735,2.87988041721213e-08,"对应"
"YY/T 1709定值","u_char_rel",0.0178807375153962,0.01789,-9.26248460382875e-06,"差异"
"YY/T 1709定值","u_char",3.21369422519964,3.22,-0.00630577480035566,"差异"
"YY/T 1709赋值确认","mean",107.724,107.72,0.00400000000000489,"对应"
"YY/T 1709赋值确认","bias",-0.375999999999991,-0.38,0.00400000000000944,"对应"
